"!symbol / month","!symbol / month"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","Na het selecteren van de betaalmethode"
"Age verification","Age verification"
"Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Alias","Alias"
"Alias For Display","Alias ​​voor Beeldscherm"
"Alias Manager","Alias Manager"
"Alias manager","Alias manager"
"All Customers","All Customers"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Bedrag"
"Amount Incl. Tax","Amount Incl. Tax"
"An unexpected error occurred.","An unexpected error occurred."
"Approval Code","Approval Code"
"Approval Code missing","Approval Code missing"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Authentication Server Error","Authentication Server Error"
"Authentication of Bank Account","Authentication of Bank Account"
"Authentication of Person","Authentication of Person"
"Author","Author"
"Authorization Amount","Autorisatie bedrag"
"Authorization Attempted","Authorization Attempted"
"Authorization Failed","Autorisatie mislukt"
"Authorization Method","Autorisatie Methode"
"Authorization is uncertain.","Autorisatie is onzeker"
"Authorized Status","Authorized Status"
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>.","Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>."
"Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>. <br /> If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase.","Available credits from !symbol 199.99 (depending on the amount of your purchases), effective annual interest rate 18.07% * and total amount 218,57 !symbol * (* in case of full utilization of the credit and repayment in 12 monthly installments of !symbol 18.21 each). Here you will find <a href='!more' target='_blank'>further information</a>, <a href='!tac' target='_blank'>terms and conditions with revocation instructions</a> and <a href='!info' target='_blank'>standard information for consumer credit</a>. <br /> If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase."
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Code","Bank Code"
"Bank Location","Bank Locatie"
"Bank Name","Bank Naam"
"Bank account number","Bankrekeningnummer"
"Bank code number","Bankcode"
"Before payment selection","Vóór het selecteren van de betaalmethode"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing address","Factuuradres"
"Birthplace","Birthplace"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","CVC Code"
"Can not retrieve installment rates.","Can not retrieve installment rates."
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Cancel status","Cancel status"
"Canceled FirstDataConnectCw","Canceled FirstDataConnectCw"
"Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Cancelled Status","Cancelled Status"
"Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Capture bedrag"
"Capture information","Boekingsinformatie"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't Close"
"Captured Amount","Opgenomen bedrag"
"Captured Status","Captured Status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Boeking"
"Card Expiration","Kaart vervaldatum"
"Card Expiry Date","Card Expiry Date"
"Card Holder Name","Kaarthouder"
"Card Number","Kaartnummer"
"Cardholder not enrolled","Cardholder not enrolled"
"Carrier Title","Carrier Title"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout failed with unknown reason","Checkout failed with unknown reason"
"Checkout using your account","Checkout using your account"
"Checkout with MasterPass.","Checkout with MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status. Voor vastgelegde betalingen wordt altijd een factuur aangemaakt."
"Client Certificate Passphrase","Client Certificate Passphrase"
"Client Certificate Passphrase (Test)","Client Certificate Passphrase (Test)"
"Company Commercial Number","Company Commerciële Nummer"
"Confirm Password","Confirm Password"
"Continue","Voortzetten"
"Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Could not fetch installment plan from Klarna","Could not fetch installment plan from Klarna"
"Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Could not resolve IP address of the customer.","Could not resolve IP address of the customer."
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"Currency","Valuta"
"Current Configuration Scope:","Huidige omvang van de configuratie:"
"Customer Account","Customer Account"
"Customer Alias Management","Customer Alias Management"
"Customer did not enter a date of birth.","Customer did not enter a date of birth."
"Customer did not enter a phone number.","Customer did not enter a phone number."
"Customer did not enter a social securiy number.","Customer did not enter a social securiy number."
"Customer did not select his gender.","Customer did not select his gender."
"Customer successfully returned from FirstDataConnectCw","De cliënt heeft met succes teruggekeerd van FirstDataConnectCw."
"Customer successfully returned from FirstData Connect","Klant met succes terug uit FirstData Connect"
"Customer sucessfully returned from the FirstDataConnectCw payment page.","Customer sucessfully returned from the FirstDataConnectCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"DEBUG","DEBUG"
"Data Collection","Data Collection"
"Date","Datum"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Deactivate","Deactivate"
"Deactivated","Deactivated"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Standaardconfiguratie"
"Deferred","Deferred"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","De vertraagde boeking"
"Deferred settlement","Vertraagde creatie"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Vertraagd"
"Delete","Verwijder"
"Delivery address","Afleveradres"
"Description","Beschrijving"
"Details: !details","Details: !details"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Directe boeking"
"Directly after order","Directly after order"
"Directly after order (sale)","Directly after order (sale)"
"Directory Server Error","Directory Server Error"
"Directory Server not responding","Directory Server not responding"
"Direkt??berweisung Verification","Direkt??berweisung Verification"
"DirektÜberweisung Verification","DirektÜberweisung Verification"
"Disable 3d Secure for this payment method.","Disable 3d Secure for this payment method."
"Disabled","Invalide"
"Discount","Discount"
"Discount Amount","Bedrag van de korting"
"Don't change order status","Don't change order status"
"During authorization","Tijdens de autorisatie"
"During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions.","During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions."
"Edit","Bewerken"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Betaalmethode inschakelen"
"Enabled","Ingeschakeld"
"Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test).","Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test)."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect.","Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect."
"Error","Error"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Excl. belasting"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Mislukt"
"Failed payment authorization.","Mislukte betaling toestemming."
"Female","vrouwelijk"
"Figure !number:","Figure !number:"
"Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)","Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)"
"Force FirstData Connect to send the payment notification on a non SSL secured connection","Force FirstData Connect to send the payment notification on a non SSL secured connection"
"Force non SSL notifications","Force non SSL notifications"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Gather solvency information through the service from B??rgel","Gather solvency information through the service from B??rgel"
"Gather solvency information through the service from Bürgel","Gather solvency information through the service from Bürgel"
"Gender","geslacht"
"Get Update","Get Update"
"Handling Fee","Handling Fee"
"Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>.","Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'.","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'."
"Hide","Hide"
"Home","Home"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"IBAN","IBAN"
"IBAN number","IBAN-nummer"
"Identification of Person","Identification of Person"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen.","If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen."
"If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"In test mode amounts with decimal places fail. Only xx.00 is accepted","In test mode amounts with decimal places fail. Only xx.00 is accepted"
"In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason","In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason"
"In test mode amounts with decimal places fail: !originalReason","In test mode amounts with decimal places fail: !originalReason"
"Inactive","Inactive"
"Incl. Tax","Incl. belasting"
"Information","Information"
"Installment","Installment"
"Interest Fee","Interest Fee"
"Interest Rate","Interest Rate"
"Invalid login or password.","Invalid login or password."
"Invoice","Invoice"
"Invoice Fee","Invoice Fee"
"Invoice Items","Factuur items"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Factuurtotalen"
"Invoice settlement","Creatie van de rekening"
"Invoice was created successfully","Het rekening is gemaakt met goed gevolg"
"Invoices","Facturen"
"Issue Number","Albumreeks"
"Issuing Bank","Issuing Bank"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Klarna: Shared Secret","Klarna: Shared Secret"
"Laser","Laser"
"Learn More","Learn More"
"Live Environment","Live Environment"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"MOTO Shared Secret Connect Interface","MOTO Shared Secret Connect Interface"
"MOTO Shared Secret Connect Interface (Test)","MOTO Shared Secret Connect Interface (Test)"
"MOTO Store ID","MOTO Store ID"
"MOTO Store ID (Test)","MOTO Store ID (Test)"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Mail order/telephone order authorization","Postorder / telefonische bestellingen machtiging"
"Male","mannelijk"
"Manage Stores","Beheer winkels"
"Manage FirstData Connect Aliases","Manage FirstData Connect Aliases"
"Mandate Reference","Mandate Reference"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Order Confirmation"
"Maximum Order Total","Maximum Bestel Total"
"Message","Bericht"
"Method Title","Method Title"
"Method information","Method information"
"Minimal Monthly Payment","Minimal Monthly Payment"
"Minimum Order Total","Minimum Bestel Total"
"Missing requried parameters","Missing requried parameters"
"MoTo","MoTo"
"MoTo FirstData Connect API Password","MoTo FirstData Connect API Password"
"MoTo FirstData Connect API Password (Test)","MoTo FirstData Connect API Password (Test)"
"MoTo FirstData Connect API User Id","MoTo FirstData Connect API User Id"
"MoTo FirstData Connect API User Id (Test)","MoTo FirstData Connect API User Id (Test)"
"Mobile","Mobile"
"Month","Maand"
"Moto Client Certificate Passphrase","Moto Client Certificate Passphrase"
"Moto Client Certificate Passphrase (Test)","Moto Client Certificate Passphrase (Test)"
"My FirstData Connect Aliases","My FirstData Connect Aliases"
"New Order","New Order"
"New Order Status","Niewe bestelstatus"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","Geen"
"No Items","No Items"
"No Store ID was provided.","No Store ID was provided."
"No additional payment information available.","Geen extra betaling informatie beschikbaar"
"No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"No button returned.","Geen knop terug."
"No day set in the date of birth field.","No day set in the date of birth field."
"No hash provided","No hash provided"
"No month set in the date of birth field.","No month set in the date of birth field."
"No refund possible.","Geen terugbetaling mogelijk"
"No shipping method needed.","No shipping method needed."
"No year set in the date of birth field.","No year set in the date of birth field."
"No, use the dropdown.","No, use the dropdown."
"None","None"
"Not enrolled","Not enrolled"
"Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Operation Mode","Operation Mode"
"Order #","Order #"
"Order Grand Total","Bestel Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Summary","Order Summary"
"Order Total","Order Total"
"Order cancelled, because the customer was too long in the payment process of FirstData Connect.","De bestelling is geannuleerd omdat de klant was te lang gevestigd in het betalingsproces van FirstData Connect."
"Order prefix","Order prefix"
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellingen waarvan de betaling is in behandeling langer dan de gedefinieerde time-out in minuten automatisch geannuleerd. Om deze functie moet je setup Magento cron gebruiken."
"Paid Amount","Betaalde bedrag"
"Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend."
"Partial refund not possible. You may retry with the total transaction amount.","Gedeeltelijke terugbetaling is niet mogelijk. Het bedrag hoger is dan het totale bedrag."
"Password","Password"
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment ID","Betaling ID"
"Payment Id","Betaling ID"
"Payment Information","Informatie over betaling"
"Payment Information only","Payment Information only"
"Payment Method","Betalingsmethode"
"Payment and Billing","Payment and Billing"
"Payment captured successfully.","Betaling succes gevangen"
"Payment could not be authorized. Cancelling order. Reason : ","De betaling is niet geatoriseerde. De bestelling wordt geannuleerd. Reden:"
"Payment details can be entered after placing the order","Betaling informatie kan worden ingevoerd na het plaatsen van de bestelling"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Betaling van de toepasselijke landen"
"Payment from specific countries","Betaling van specifieke landen"
"Payment is pending at FirstDataConnectCw","Betaling in behandeling bij FirstDataConnectCw"
"Payment method description","Beschrijving van de betaalmethode"
"Payment with %s","Payment with %s"
"Payment with FirstData Connect","Betalen met FirstData Connect"
"Payment, Billing and Shipping","Payment, Billing and Shipping"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Betalingen kunnen automatisch worden bijgewerkt (in minuten) via API (indien ingeschakeld). Om de functie te gebruiken, moet de Magento Cron worden ingeschakeld."
"Pending","Pending"
"Pending FirstDataConnectCw","Pending FirstDataConnectCw"
"Phone Number","Phone Number"
"Place Order","Place Order"
"Please accept the terms and conditions.","Please accept the terms and conditions."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Controleer de ingevoerde CVC nummer."
"Please check the entered credit card number.","Controleer de ingevoerde creditcardnummer."
"Please configure the Klarna Merchant ID","Please configure the Klarna Merchant ID"
"Please configure the Klarna Shared Secret","Please configure the Klarna Shared Secret"
"Please enter a day of birth.","Please enter a day of birth."
"Please enter a phone number.","Please enter a phone number."
"Please enter a valid day of birth.","Please enter a valid day of birth."
"Please enter here the Bank Identifier Code (BIC).","Vul hier de Bank Identifier Code (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Voer hier het CVC uw kaart in te voeren. U kunt dit vinden op de achterkant van uw creditcard."
"Please enter here the IBAN of your bank account.","Please enter here the IBAN of your bank account."
"Please enter here the International Bank Account Number (IBAN).","Voer hier het International Bank Account Number (IBAN)."
"Please enter here the account holder name on the card.","Vul hier de naam rekeninghouder op de kaart."
"Please enter here the account holder name.","Vul hier de naam van de rekeninghouder."
"Please enter here the account number of your bank account.","Vul het rekeningnummer van uw bankrekening in te voeren"
"Please enter here the bank code of your bank.","Vul hier de bankcode van uw bank in te voeren"
"Please enter here the card holder name on the card.","Geef de kaarthouder een"
"Please enter here the commercial number of your company.","Vul hier het commerciële nummer van uw bedrijf."
"Please enter here the name of the account owner.","Vul de naam van de rekeninghouder in te voeren"
"Please enter here the number on your card.","Vul het kaartnummer van uw creditcard in te voeren"
"Please enter here the sales tax number of your company.","Vul hier de omzetbelasting nummer van uw bedrijf."
"Please enter here your birthplace","Please enter here your birthplace"
"Please enter here your phone number.","Please enter here your phone number."
"Please enter here your social security number.","Vul hier uw sofi-nummer."
"Please enter the BIC of your bank.","Please enter the BIC of your bank."
"Please enter the location of your bank.","Vul de locatie van uw bank."
"Please enter the name of your bank.","Vul de naam van uw bank."
"Please enter your Date of Birth (DD.MM.YYYY).","Please enter your Date of Birth (DD.MM.YYYY)."
"Please enter your IBAN number.","Gelieve uw IBAN-nummer."
"Please enter your issue number, if there is no CVC code on your card.","Vul uw probleem nummer als er geen CVC code op uw kaart."
"Please enter your phone number.","Please enter your phone number."
"Please enter your social security number.","Please enter your social security number."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
