"%1 Gift Card","%1 Gift Card"
"%1 Gift Cards","%1 Gift Cards"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 ending ","%1 ending "
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 via Stripe","%1 via Stripe"
"%action amount %amount through Stripe.","%action amount %amount through Stripe."
"Order #%1","Order #%1"
"Order Total","Order Total"
"Order place error","Order place error"
"Order placed under manual review by Stripe Radar.","Order placed under manual review by Stripe Radar."
"Other Payment Methods","Other Payment Methods"
"Over a period of","Over a period of"
"P24 (Przelewy24)","P24 (Przelewy24)"
"Past Due","Past Due"
"Pay in store currency","Pay in store currency"
"Pay with ","Pay with "
"Payment #%1","Payment #%1"
"Payment Action","Payment Action"
"Payment Authorization","Payment Authorization"
"Payment Failed Emails","Payment Failed Emails"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Payment Location","Payment Location"
"Payment Method","Payment Method"
"Payment Type","Payment Type"
"Payment authentication succeeded.","Payment authentication succeeded."
"Payment due","Payment due"
"Payment failed. Please try placing the order again.","Payment failed. Please try placing the order again."
"Payment failed.","Payment failed."
"Payment failed: %1","Payment failed: %1"
"Payment failed: %1. Please try placing the order again.","Payment failed: %1. Please try placing the order again."
"Payment failed: 3D Secure customer authentication failed.","Payment failed: 3D Secure customer authentication failed."
"Payment succeeded.","Payment succeeded."
"Place Order","Place Order"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to the terms and conditions before placing the order.","Please agree to the terms and conditions before placing the order."
"Please complete all required fields before placing the order.","Please complete all required fields before placing the order."
"Please provide an IBAN.","Please provide an IBAN."
"Please provide an account holder name.","Please provide an account holder name."
"Please select your bank before placing the order","Please select your bank before placing the order"
"Please select your bank","Please select your bank"
"Please specify a %1 city","Please specify a %1 city"
"Please specify a %1 country","Please specify a %1 country"
"Please specify a shipping address region/state.","Please specify a shipping address region/state."
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Product Page","Product Page"
"Provide cash payment to the cashier.","Provide cash payment to the cashier."
"Radar Risk","Radar Risk"
"Receipt Emails","Receipt Emails"
"Received %1 webhook but could find the order ID for the event.","Received %1 webhook but could find the order ID for the event."
"Received %1 webhook but could find the source ID in the database.","Received %1 webhook but could find the source ID in the database."
"Received %1 webhook but there was no Order # in the source's metadata","Received %1 webhook but there was no Order # in the source's metadata"
"Received %1 webhook with Order #%2 but could not find the order in Magento.","Received %1 webhook with Order #%2 but could not find the order in Magento."
"Right hand side of the title","Right hand side of the title"
"Routing Number","Routing Number"
"SCA MOTO Exemptions","SCA MOTO Exemptions"
"SEPA Credit Transfers","SEPA Credit Transfers"
"SEPA Direct Debit","SEPA Direct Debit"
"Save Customer Cards","Save Customer Cards"
"Save card for future purchases","Save card for future purchases"
"Save without asking","Save without asking"
"Saved Cards","Saved Cards"
"Select Card Icons","Select Card Icons"
"Seller Name","Seller Name"
"Shipping Address","Shipping Address"
"Shipping Cost","Shipping Cost"
"Ships to %1","Ships to %1"
"Shopping Cart Page","Shopping Cart Page"
"Show all accepted card types","Show all accepted card types"
"Show only specific cards","Show only specific cards"
"Show only the detected card type","Show only the detected card type"
"Something has gone wrong with your payment. Please contact us.","Something has gone wrong with your payment. Please contact us."
"Sorry, ACH payments cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the bank transfer is completed successfully.","Sorry, ACH payments cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the bank transfer is completed successfully."
"Sorry, a payment error has occurred, please contact us for support.","Sorry, a payment error has occurred, please contact us for support."
"Sorry, it is not possible to delete this card because order #%1 which was placed using this card is still being processed.","Sorry, it is not possible to delete this card because order #%1 which was placed using this card is still being processed."
"Sorry, it is not possible to invoice this order because the payment is still pending.","Sorry, it is not possible to invoice this order because the payment is still pending."
"Sorry, the OXXO voucher could not be created, please contact us for more help.","Sorry, the OXXO voucher could not be created, please contact us for more help."
"Sorry, the order could not be placed. Please contact us for more help.","Sorry, the order could not be placed. Please contact us for more help."
"Sorry, the subscription could not be canceled. Please contact us for more help.","Sorry, the subscription could not be canceled. Please contact us for more help."
"Sorry, there are no available payment options","Sorry, there are no available payment options"
"Sorry, there are no available payment options.","Sorry, there are no available payment options."
"Sorry, this invoice cannot be manually captured.","Sorry, this invoice cannot be manually captured."
"Sorry, this order cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the payment is collected.","Sorry, this order cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the payment is collected."
"Sorry, this payment method is not available in your country.","Sorry, this payment method is not available in your country."
"Sorry, we could not create the subscription for %1. Please contact us for more help.","Sorry, we could not create the subscription for %1. Please contact us for more help."
"Sort Order","Sort Order"
"Specific Currencies","Specific Currencies"
"Street Check","Street Check"
"Stripe Checkout (recommended for PWA storefronts and native mobile apps)","Stripe Checkout (recommended for PWA storefronts and native mobile apps)"
"Stripe Checkout session has expired without a payment.","Stripe Checkout session has expired without a payment."
"Stripe Elements (recommended for most websites)","Stripe Elements (recommended for most websites)"
"Stripe.js v2","Stripe.js v2"
"Stripe.js v3 + Stripe Elements","Stripe.js v3 + Stripe Elements"
"Subscription %1 was paid but the associated product with ID %1 could not be loaded.","Subscription %1 was paid but the associated product with ID %1 could not be loaded."
"Subscription %1 was paid but there was no Product ID in the subscription's metadata.","Subscription %1 was paid but there was no Product ID in the subscription's metadata."
"Subscription items cannot be captured online. Will capture offline instead.","Subscription items cannot be captured online. Will capture offline instead."
"Subscriptions by Stripe","Subscriptions by Stripe"
"Subscriptions that do not renew together must be bought separately.","Subscriptions that do not renew together must be bought separately."
"Subscriptions via Stripe Billing","Subscriptions via Stripe Billing"
"Test Payment","Test Payment"
"Test Publishable API Key","Test Publishable API Key"
"Test Secret API Key","Test Secret API Key"
"Test Webhooks Signing Secret","Test Webhooks Signing Secret"
"Thank you for your payment of %1. It seems that the order has been overpaid by %2 and a refund for this amount is due back to your bank account. In the meantime, your order is will be processed normally.","Thank you for your payment of %1. It seems that the order has been overpaid by %2 and a refund for this amount is due back to your bank account. In the meantime, your order is will be processed normally."
"Thank you for your payment of %1. Your order is now complete and will be processed soon.","Thank you for your payment of %1. Your order is now complete and will be processed soon."
"Thank you for your payment of %1. Your order is still pending! To complete the payment, please transfer a further %2 to the bank account with IBAN %3 and BIC code %4.","Thank you for your payment of %1. Your order is still pending! To complete the payment, please transfer a further %2 to the bank account with IBAN %3 and BIC code %4."
"The Klarna payment options could not be loaded.","The Klarna payment options could not be loaded."
"The Subscription has been canceled successfully!","The Subscription has been canceled successfully!"
"The authorization has expired and the customer has no saved cards to re-create the order.","The authorization has expired and the customer has no saved cards to re-create the order."
"The balance for this order will be paid over a %1 %2 period.","The balance for this order will be paid over a %1 %2 period."
"The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details.","The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details."
"The checkout session for order #%1 could not be retrieved from Stripe","The checkout session for order #%1 could not be retrieved from Stripe"
"The customer has paid the invoice for this order.","The customer has paid the invoice for this order."
"The customer needs to pay <b>%1</b> to the following bank account:","The customer needs to pay <b>%1</b> to the following bank account:"
"The customer was redirected externally for payment processing.","The customer was redirected externally for payment processing."
"The customer was redirected for payment processing. The payment is pending.","The customer was redirected for payment processing. The payment is pending."
"The discount for %1 could not be created in Stripe: %2","The discount for %1 could not be created in Stripe: %2"
"The discount for order #%1 could not be created in Stripe: %2","The discount for order #%1 could not be created in Stripe: %2"
"The full amount is sent","The full amount is sent"
"The gift cards for order #%1 could not be created in Stripe: %2","The gift cards for order #%1 could not be created in Stripe: %2"
"The invoice could not be created in Stripe: %1","The invoice could not be created in Stripe: %1"
"The invoice for order #%1 could not be created in Stripe: %2","The invoice for order #%1 could not be created in Stripe: %2"
"The invoice for this order could not be found.","The invoice for this order could not be found."
"The invoice item for product ""%1"" could not be created in Stripe: %2","The invoice item for product ""%1"" could not be created in Stripe: %2"
"The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead.","The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead."
"The most amount that can be refunded online is %1.","The most amount that can be refunded online is %1."
"The payment for this order could not be confirmed: %1.","The payment for this order could not be confirmed: %1."
"The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment.","The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment."
"The payment has been approved through Stripe.","The payment has been approved through Stripe."
"The payment intent with ID %1 could not be retrieved from Stripe","The payment intent with ID %1 could not be retrieved from Stripe"
"The payment is pending.","The payment is pending."
"The payment was canceled through Stripe with reason: %1.","The payment was canceled through Stripe with reason: %1."
"The payment was not authorized.","The payment was not authorized."
"The price for product ""%1"" could not be created in Stripe: %2","The price for product ""%1"" could not be created in Stripe: %2"
"The product ""%1"" could not be created in Stripe: %2","The product ""%1"" could not be created in Stripe: %2"
"The provided bank account details will be used for refunds if one is requested by the customer at a later time. You can alternatively enter the bank account manually when creating a Credit Memo","The provided bank account details will be used for refunds if one is requested by the customer at a later time. You can alternatively enter the bank account manually when creating a Credit Memo"
"The provided bank account details will only be used for refunds.","The provided bank account details will only be used for refunds."
"The selected billing country %1 is not supported by Klarna","The selected billing country %1 is not supported by Klarna"
"The selected currency %1 is not supported for the billing country %2","The selected currency %1 is not supported for the billing country %2"
"The selected shipping country %1 is not supported by Klarna","The selected shipping country %1 is not supported by Klarna"
"The shipping amount for order #%1 could not be created in Stripe: %2","The shipping amount for order #%1 could not be created in Stripe: %2"
"The source with ID %1 could not be retrieved from Stripe","The source with ID %1 could not be retrieved from Stripe"
"The subscription has a trial period but the card requires immediate authorization. Please use a different card.","The subscription has a trial period but the card requires immediate authorization. Please use a different card."
"The tax for order #%1 could not be created in Stripe: %2","The tax for order #%1 could not be created in Stripe: %2"
"This card cannot be used because it requires a 3D Secure authentication by the customer. Your Stripe account needs to be MOTO enabled to use 3D Secure cards from the admin area.","This card cannot be used because it requires a 3D Secure authentication by the customer. Your Stripe account needs to be MOTO enabled to use 3D Secure cards from the admin area."
"This card cannot be used because it requires a 3D Secure authentication by the customer.","This card cannot be used because it requires a 3D Secure authentication by the customer."
"This discount coupon cannot be applied on this order. Please remove the coupon and try again (err: 0)","This discount coupon cannot be applied on this order. Please remove the coupon and try again (err: 0)"
"This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page.","This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page."
"This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This value is only used if the coupon duration is ""Multiple months"".","This value is only used if the coupon duration is ""Multiple months""."
"To complete the order, please pay <b>%1</b> by scanning the QR code below with your mobile device","To complete the order, please pay <b>%1</b> by scanning the QR code below with your mobile device"
"To complete the order, please use the voucher below to pay at an OXXO convenience store.","To complete the order, please use the voucher below to pay at an OXXO convenience store."
"Trial Discount","Trial Discount"
"Trial Shipping","Trial Shipping"
"Trial Tax","Trial Tax"
"Trial subscription payments for this order are pending. Pending invoice(s) created for %1.","Trial subscription payments for this order are pending. Pending invoice(s) created for %1."
"Trial subscription period ended for order #%1. The subscription is now active.","Trial subscription period ended for order #%1. The subscription is now active."
"Try to re-create the charge using the same card","Try to re-create the charge using the same card"
"USD Only","USD Only"
"Unable to create payment intent","Unable to create payment intent"
"Unhandled attempt to place multi-shipping order without a payment object","Unhandled attempt to place multi-shipping order without a payment object"
"Unknown event type","Unknown event type"
"Unsupported bundle subscription.","Unsupported bundle subscription."
"Use a new card","Use a new card"
"View in Stripe","View in Stripe"
"Voucher Expiration Days","Voucher Expiration Days"
"Voucher Link","Voucher Link"
"Warn admin and don't capture","Warn admin and don't capture"
"We refunded %1 through Stripe.","We refunded %1 through Stripe."
"We refunded offline the expired authorization of %1. Charge ID: %2","We refunded offline the expired authorization of %1. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2","We refunded online %1 via Stripe. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3","We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3"
"We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2","We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2"
"WeChat Pay","WeChat Pay"
"You do not have any saved cards yet.","You do not have any saved cards yet."
"You do not have any subscriptions yet.","You do not have any subscriptions yet."
"You have specified a coupon duration of Multiple Months, but you did not enter a valid months number.","You have specified a coupon duration of Multiple Months, but you did not enter a valid months number."
"You must first add a full billing address before you can add saved cards.","You must first add a full billing address before you can add saved cards."
"You must first configure your Stripe API keys before you can configure webhooks","You must first configure your Stripe API keys before you can configure webhooks"
"You must first set a billing address before you can use this payment method","You must first set a billing address before you can use this payment method"
"You must first set a shipping address before you can use this payment method","You must first set a shipping address before you can use this payment method"
"Your %1 order confirmation","Your %1 order confirmation"
"Your Account Holder Name","Your Account Holder Name"
"Your Bank","Your Bank"
"Your IBAN","Your IBAN"
"Your account has been configured to use a different currency. Please complete the purchase in the currency: %1","Your account has been configured to use a different currency. Please complete the purchase in the currency: %1"
"Your bank account has been successfully verified.","Your bank account has been successfully verified."
"Your business name","Your business name"
"Your card details are protected using PCI DSS v3.2 security standards.","Your card details are protected using PCI DSS v3.2 security standards."
"Your card has been declined","Your card has been declined"
"Your checkout session has expired. Please refresh the checkout page and try again.","Your checkout session has expired. Please refresh the checkout page and try again."
"Your order has been canceled. The payment authorization succeeded, however the authorizing provider declined the payment with the message: %1","Your order has been canceled. The payment authorization succeeded, however the authorizing provider declined the payment with the message: %1"
"Your order is pending! To complete the order, please transfer <b>%1</b> to the following bank account:","Your order is pending! To complete the order, please transfer <b>%1</b> to the following bank account:"
"Your order is pending!","Your order is pending!"
"Your order pending! To complete the payment, please transfer %1 to the bank account with IBAN %2 and BIC code %3.","Your order pending! To complete the payment, please transfer %1 to the bank account with IBAN %2 and BIC code %3."
"Your session has expired.","Your session has expired."
"Your subscription details have changed for order #%1. A new order #%2 has been created with the new billing details. This message does not mean that your subscription has been billed. The next subscription payment will be on %3.","Your subscription details have changed for order #%1. A new order #%2 has been created with the new billing details. This message does not mean that your subscription has been billed. The next subscription payment will be on %3."
"Your trial period for order #%1 has started.","Your trial period for order #%1 has started."
"Zip Check","Zip Check"
"after the invoice has been sent.","after the invoice has been sent."
"ending in","ending in"
"every %1 %2","every %1 %2"
"every %1","every %1"
"last billed %1<sup>%2</sup>&nbsp;%3","last billed %1<sup>%2</sup>&nbsp;%3"
"trialing until %1<sup>%2</sup> %3","trialing until %1<sup>%2</sup> %3"
ACH,ACH
Actions,Actions
Active,Active
Alipay,Alipay
Applies,Applies
Authorized,Authorized
BIC,BIC
Back,Back
Bancontact,Bancontact
Bank,Bank
Billed,Billed
Buy,Buy
Cancel,Cancel
Canceled,Canceled
Captured,Captured
Card,Card
Cards,Cards
Change,Change
Charge,Charge
Close,Close
Collected,Collected
Configure,Configure
Customer,Customer
Dark,Dark
Default,Default
Delete,Delete
Disabled,Disabled
Discount,Discount
Discover,Discover
Donate,Donate
Enabled,Enabled
Error,Error
Expires,Expires
FPX,FPX
Forever,Forever
Giropay,Giropay
IBAN,IBAN
Immediately,Immediately
Invoice,Invoice
JCB,JCB
Klarna,Klarna
Light,Light
Light-Outline,Light-Outline
Live,Live
MasterCard,MasterCard
Minicart,Minicart
Mode,Mode
Multibanco,Multibanco
N/A,N/A
None,None
OXXO,OXXO
Once,Once
PayPal,PayPal
Payment,Payment
Print,Print
Processed,Processed
Reference,Reference
Refunded,Refunded
Renewal,Renewal
SOFORT,SOFORT
Save,Save
Shipping,Shipping
Status,Status
Stripe,Stripe
Subscription,Subscription
Subscriptions,Subscriptions
Tax,Tax
Test,Test
Title,Title
Unpaid,Unpaid
Visa,Visa
Webhooks,Webhooks
billing,billing
days,days
exp,exp
expires,expires
iDEAL,iDEAL
optional,optional
or,or
shipping,shipping
