"Or pay in %1","pagamento in %1 rate"
"oney_text_commissions","<p><strong>In caso di utilizzo di 3x Oney :</strong></p><p><strong>€1,15</strong> per importo compreso tra <strong>€ 100 e €149,99</strong>; TAEG max15,18%</p><p><strong>€1,90</strong> per importo compreso tra <strong>€ 150 e € 249,99</strong>; TAEG max 16,85%</p><p><strong>€3,20</strong> per importo compreso tra <strong>€ 250 e € 299,99</strong>; TAEG max 17,05%</p><p><strong>€3,80</strong> per importo compreso tra <strong>€ 300 e €449,99</strong>; TAEG max 16,85%</p><p><strong>€5,80</strong> per un importo compreso tra <strong>€ 450 e € 649,99</strong>; TAEG max 17,18%</p><p><strong>€8,40</strong> per un importo compreso tra <strong>€ 650 e € 799,99</strong>; TAEG max 17,23%</p><p><strong>€10,30</strong> per un importo compreso tra <strong>€ 800 e €1.199,99</strong>; TAEG max17,16%</p><p><strong>€15</strong> per un importo compreso tra <strong>€ 1.200 e € 1499,99</strong>; TAEG max 16,61%</p><p><strong>€15 </strong> per un importo compreso tra <strong>€ 1.500 e € 3.000</strong>; TAEG max 13,05%</p><br/><p><strong>In caso di 4x Oney :</strong></p><p><strong>€1,70</strong> per un importo compreso tra <strong>€100 e € 149,99</strong>; TAEG max 15%</p><p><strong>€2,90</strong> per importo compreso tra <strong>€ 150 e €249,99</strong>; TAEG max17,26%</p><p><strong>€4,80</strong> per importo compreso tra <strong>€ 250 e € 299,99</strong>; TAEG max 17,13%</p><p><strong>€5,80</strong> per importo compreso tra <strong>€ 300 e €449,99</strong>; TAEG max 17,26%</p><p><strong>€8,70</strong> per un importo compreso tra <strong>€ 450 e €649,99</strong>; TAEG max 17,26%</p><p><strong>€12,50</strong> per un importo compreso tra <strong>€ 650 e € 799,99</strong>; TAEG max 17,16%</p><p><strong>€15,40</strong> per un importo compreso tra <strong>€ 800 e €1.199,99</strong>; TAEG max 17,18%</p><p><strong>€20,00</strong> per un importo compreso tra <strong>€ 1.200 e €1.499,99</strong>; TAEG max14,68%</p><p><strong>€20,00</strong> per un importo compreso tra <strong>€ 1.500 e € 3.000</strong>; TAEG max 11,55%</p>"
"Costs applied in case of default","Costi applicati in caso di inadempimento"
"oney_text_costs_applied %1 %2 %3 %4","il cliente dovrà corrispondere a Oney un importo di €6, ogniqualvolta una delle rate di 3x4x Oney rimanga impagata per più di 7 giorni dalla data di addebito del pagamento della stessa, fatto salvo il caso in cui tale costo sia già stato applicato da Oney per una precedente rata %2 Oney che risulti attualmente impagata.
                      Qualora il mancato pagamento di una rata %3 Oney si protragga per più di 30 giorni dalla data di addebito del pagamento del relativo importo, il cliente sarà, inoltre, tenuto a corrispondere a Oney una somma pari al 15,5% degli importi complessivamente scaduti e impagati, a cui si aggiungeranno quelli relativi alle rate successive nel caso in cui anche queste ultime risultino scadute e impagate."

"pedago_text_3","È una soluzione di finanziamento rateale il cui importo iniziale, pari alla somma della prima rata e della commissione stabilita da Oney Bank SA (Oney) per l’utilizzo di 3xOney, è addebitato ovvero pagato mediante gli strumenti di pagamento espressamente accettati da Oney a seguito del buon esito dell’ordine d’acquisto ovvero della prenotazione dei beni e/o servizi eseguiti, mentre il pagamento dell’importo residuo verrà addebitato sulla carta di credito in due rate di pari importo ovvero pagato mediante gli strumenti di pagamento espressamente accettati da Oney, nei due mesi successivi alla data di esecuzione dell’acquisto effettuato ovvero della prenotazione dei beni e/o servizi eseguiti con 3xOney. Le commissioni previste da Oney per l’utilizzo del servizio sono indicate nei paragrafi successivi.
                 <p><strong>Esempio:</strong> per un ordine di acquisto di € 300 effettuato in data 21/04/2020 con 3xOney, il cliente pagherà a seguito del buon esito dell’ordine di acquisto del bene un importo iniziale pari e €103,70 (di cui €100 come prima rata e €3,70 di commissione: TAEG: 16,37%), e due rate de €100 ciascuna, addebitate il 21/05/2020 e il  20/06/2020, per una durata complessiva di 2 mesi.</p>"
"pedago_text_4","È una soluzione di finanziamento rateale il cui importo iniziale, pari alla somma della prima rata e della commissione stabilita da Oney Bank SA (Oney) per l’utilizzo di 4xOney, è addebitato ovvero pagato mediante gli strumenti di pagamento espressamente accettati da Oney, a seguito del buon esito dell’ordine d’acquisto ovvero della prenotazione dei beni e/o servizi eseguiti, mentre il pagamento dell’importo residuo verrà addebitato sulla carta di credito in tre rate di pari importo ovvero pagato mediante gli strumenti di pagamento espressamente accettati da Oney, nei tre mesi successivi alla data di esecuzione dell’acquisto effettuato ovvero della prenotazione dei beni e/o servizi eseguiti con 4xOney. Le commissioni previste da Oney per l’utilizzo del servizio sono indicate nei paragrafi successivi.
                 <p><strong>Esempio:</strong> per un ordine di acquisto di €300 effettuato in data 21/04/2020 con 4xOney, il cliente pagherà a seguito del buon esito dell’ordine di acquisto del bene un importo iniziale di €80,60 (di cui € 75,00 come prima rata e €5,60 di commissione: TAEG: 16,61%) e tre rate de €75 ciascuna, addebitate il 21/05/2020 il 20/06/2020 e il 21/07/2020 per una durata complessiva di 3 mesi.</p>"
"Confirm your purchase and select %1 Oney for payment.","Conferma il tuo acquisto e seleziona %1 Oney per il pagamento."
"We will get back to you right away.","Ti daremo una risposta senza attese."
"Complete your request easily and with a few clicks.","Completa la tua richiesta in modo semplice e con pochi click."
"We only ask you for some information","Ti chiediamo solo qualche informazione"
"Choose","Scegli"
"You have an immediate response.","Ti rispondiamo subito"
"Simple and safe","Semplice e sicuro"
"Connection to the Oney API has been completed successfully. You can configure the different payment methods in the 'Oney Payments' section.","La connessione all'API Oney è stata completata correttamente. È possibile configurare la versione con commissione e senza nella sezione 'Oney Payments'."
"Wrong country for Oney","Seleziona un indirizzo di consegna o di fatturazione in Italia."
"Wrong postal for Oney","Per poter richiedere Oney %s è necessario inserire un CAP valido"
"Wrong phone for Oney","Inserisci un numero di cellulare valido. 3000000000 o +393000000000"
"Customer's cart eligible amounts from %1 to %2","L’importo finanziabile deve essere compreso tra un minimo di €%1 e un massimo di €%2"
"Without fees","Senza  commissione"
"With fees","Con commissioni"
"Payment %1 :","%1 Rata :"
"And a commission of","Più una commissione di"
"Learn more","Scopri di più"
"For %1 Oney the funded amount of %2 to %3.","L’importo finanziabile deve essere compreso tra un minimo di %2 e un massimo di %3."
"oney_text_commissions_customer %1","IL cliente è tenuto a corrispondere a Oney esclusivamente una commissione di gestione, il cui importo varia a seconda dell’importo dell’acquisto effettuato dallo stesso cliente e della durata. Le commissioni applicate da Oney in caso di 3x sono suddivise nei seguenti scaglioni:</p><p>Sulla base degli accordi commerciali conclusi tra il sito di vendita e Oney, 3x4x Oney potrà essere offerto alla clientela senza l’applicazione delle commissioni sottoindicate."
"oney_last_text %1 %2 %3","<p>il cliente dovrà corrispondere a Oney un importo di €6, ogniqualvolta una delle rate di 3x4x Oney rimanga impagata per più di 7 giorni dalla data di addebito del pagamento della stessa, fatto salvo il caso in cui tale costo sia già stato applicato da Oney per una precedente rata 3x4x Oney che risulti attualmente impagata.</p><br/><p>Qualora il mancato pagamento di una rata 3x4x Oney si protragga per più di 30 giorni dalla data di addebito del pagamento del relativo importo, il cliente sarà, inoltre, tenuto a corrispondere a Oney una somma pari al 15,5% degli importi complessivamente scaduti e impagati, a cui si aggiungeranno quelli relativi alle rate successive nel caso in cui anche queste ultime risultino scadute e impagate.</p><br/><p>3x4x Oney è una dilazione di pagamento che non ricade nell’ambito di applicazione del credito ai consumatori di cui al Titolo VI, Capo II TUB, offerta da Oney Bank SA., capitale € 51.286.585 - 34 Avenue de Flandre 59170 Croix - RCS Lille, Metropole - 546 380 197 - n° Orias 07 023 261, che opera in Italia in regime di libera prestazione di servizi. L’utilizzo di 3x4x Oney è riservato alle persone fisiche maggiorenni, per importi finanziabili compresi tra un minimo di €100 e un massimo di €3.000 con rimborsi rateali fino ad un massimo di 90 giorni ed è soggetto alla preventiva approvazione di Oney Bank SA. Oney Bank SA. prevede l’applicazione di una commissione fissa per l’utilizzo di 3x4x Oney. Il cliente ha 14 giorni di tempo dalla data di conclusione di ciascun finanziamento per rinunciarvi e esercitare il diritto di recesso, senza spese e costi.</p><br/><p>Documenti informativi disponibili su <a href='https://www.oney.it' target='_blank'>www.oney.it</a></p>"
"Hide","Nascondere"
"Show","Mostrare"
"Template Options","Opzioni del modello"
"Horizontal Banner","Banner orizzontale"
"Vertical Banner","Banner verticale"
"This option show or hide the horizontal banner present on your store home page.","Questa opzione mostra o nasconde il banner orizzontale presente nella home page del tuo negozio."
"This option show or hide the vertical banner present on your store catalogue page.","Questa opzione mostra o nasconde il banner verticale presente nella pagina del catalogo del tuo negozio."
"oney_simulation_text","Prima rata da <strong>%1</strong> e <strong>%2</strong> rate mensili da <strong>%3</strong></br>Totale da rimborsare: <strong>%4</strong> (di cui una commissione applicata sula prima rata <strong>%5</strong>), <span class='taeg-oney'>TAEG: %6%</span>"
"legal_text_payment","Verificata la tua carta : Oney accetta solo Visa, Mastercard (NON PREPAGATA) <span class='link-popup open-pedagogique_modal'>Scopri di più</div>"
"First payment :","Prima rata contestuale all’acquisto da :"
"Following %1 mensualities :","e %1 rate mensili da :"
"Total :","Totale da rimborsare :"
"Credit cost included :","Di cui una commissione applicata sulla prima rata :"
"Simulation Pay in %1","Paga in %1"
"Pay in %1 free","Paga in %1"
